C Mapping (NEW 2023),Categories (within the HOMER Curriculum),Majors,Minors,Topics,Skills (Scope and Sequence),US Start Age,US End Age,Temp Skill Code,Number,Standards (if relevant),"Tangible Candidate (i.e., skill well supported through physical products and/or learning with manipulatives)",Currently covered via tangible,Non-HOMER products/experiences,China start,China end,Partner products,Total Manuscripts,,FINAL SkillCode,,,,,,,,
Core,Knowledge   ,Literacy,Comprehension ,Story grammar,Understands cause and effect in stories. Can see that hitting the ball caused the window to break or being kind to an unhappy friend helps the friend feel better.,58,72,KLCom158,158,,,,,,,,,,KNO-Lit-cmp-5,,,,,,,,
Core,Knowledge   ,Literacy,Comprehension ,Story grammar,"Recognizes character types and interactions between characters. Can tell if a character is a ""kind"" or  ""a leader"" or """,58,72,KLCom159,159,,,,,,,,,,KNO-Lit-cmp-6,,,,,,,,
Core,Knowledge   ,Literacy,Comprehension ,Story grammar,Can make logical predictions about a plot. A child might guess a lost dog might get home by the end of the story. ,58,72,KLCom160,160,,,,,,,,,,KNO-Lit-cmp-7,,,,,,,,
Core,Knowledge   ,Literacy,Comprehension ,Story grammar,Can put a  3-4 part story in proper sequence,36,48,KLCom161,161,,,,,,,,,,KNO-Lit-cmp-8,,,,,,,,
Core,Knowledge   ,Literacy,Comprehension ,Story grammar,Can put a 5-6 story in proper sequence,42,52,KLCom162,162,,,,,,,,,,KNO-Lit-cmp-9,,,,,,,,
Core,Knowledge   ,Literacy,Comprehension ,NA,"Can answer questions about key details
 in a text",36,72,KLCom163,163,,,,,,,,,,KNO-Lit-cmp-10,,,,,,,,
Core,Knowledge   ,Literacy,Comprehension ,NA,"Can identify the main topic and retell key details
 of a text",48,80,KLCom164,164,,,,,,,,,,KNO-Lit-cmp-11,,,,,,,,
Core,Knowledge   ,Literacy,Comprehension ,NA,"Can describe the relationship between illustrations
 and text ",40,80,KLCom165,165,,,,,,,,,,KNO-Lit-cmp-12,,,,,,,,
Core,Knowledge   ,Literacy,Comprehension ,NA,"Understands reasons an author gives to support
 points in a text",48,80,KLCom166,166,,,,,,,,,,KNO-Lit-cmp-13,,,,,,,,
Core,Knowledge   ,Literacy,Comprehension ,NA,Can retell a story giving key points ,48,80,KLCom167,167,,,,,,,,,,KNO-Lit-cmp-14,,,,,,,,
Core,Knowledge   ,Literacy,Comprehension ,NA,Can retell a story giving with details and in proper sequential order,52,80,KLCom168,168,,,,,,,,,,KNO-Lit-cmp-15,,,,,,,,
Core,Knowledge   ,Literacy,Comprehension ,NA,Can identify the difference between fiction and nonfiction-- informtional versus narrative text ,50,72,KLCom169,169,,,,,,,,,,KNO-Lit-cmp-16,,,,,,,,
Core,Knowledge   ,Literacy,Comprehension ,NA,Developing prior knowlege ,24,72,KLCom170,170,,,,,,,,,,KNO-Lit-cmp-17,,,,,,,,
Core,Knowledge   ,Literacy,Comprehension ,NA,With prompting uses prior knowlege to increase understanding of a new piece of knowledge or a new concept,40,50,KLCom171,171,,,,,,,,,,KNO-Lit-cmp-18,,,,,,,,
Core,Knowledge   ,Literacy,Comprehension ,NA,Independently uses prior knowlege to increase understanding of a new piece of knowledge or a new concept,48,70,KLCom172,172,,,,,,,,,,KNO-Lit-cmp-19,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,Handwriting ,Trace lines to develop fine motor control needed to write letters and numbers ,24,40,KLWri173,173,,,,,,,,,,KNO-Lit-wri-1,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,Handwriting ,"Can draw  the component shapes of letters such as vertical, horizontal and diagonal lines, circles and semi-circles",24,36,KLWri174,174,,,,,,,,,,KNO-Lit-wri-2,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,Handwriting ,Can write uppercase letters ,36,60,KLWri175,175,,,,,,,,,,KNO-Lit-wri-3,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,Handwriting ,Can write  lowercase letters ,48,60,KLWri176,176,,,,,,,,,,KNO-Lit-wri-4,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,,,,,KLWri177,177,,,,,,,,,,KNO-Lit-wri-5,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,Handwriting ,Can grip a writing instrument ,24,40,KLWri178,178,,,,,,,,,,KNO-Lit-wri-6,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,Handwriting ,Can grip a writing instrument in standard grip,40,60,KLWri179,179,,,,,,,,,,KNO-Lit-wri-7,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,Emergent writing,Engages in open-ended and creative play with letters,24,40,KLWri180,180,,,,,,,,,,KNO-Lit-wri-8,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,Emergent writing,Can write their name ,30,48,KLWri181,181,,,,,,,,,,KNO-Lit-wri-9,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,Emergent writing,pretend writes with squiggles ,24,40,KLWri182,182,,,,,,,,,,KNO-Lit-wri-10,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,Emergent writing,Writes with random letters ,24,36,KLWri183,183,,,,,,,,,,KNO-Lit-wri-11,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,Emergent writing,writes with letters that have a relationship to the sounds on words,36,46,KLWri184,184,,,,,,,,,,KNO-Lit-wri-12,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,,Can dictate a story and recognize that the result is the story created ,36,48,KLWri185,185,,,,,,,,,,KNO-Lit-wri-13,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,Early writing,writes with strong one-to-one correspondence of sounds to letters  ,42,72,KLWri186,186,,,,,,,,,,KNO-Lit-wri-14,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,Early writing,Writes many words automatically with standard spelling including sight wrods ,60,72,KLWri187,187,,,,,,,,,,KNO-Lit-wri-15,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,Early writing,Understands that writing is a way to express and share ideas and feelings,42,72,KLWri188,188,,,,,,,,,,KNO-Lit-wri-16,,,,,,,,
Core,Knowledge   ,Literacy,Writing ,Early writing,Understands that writing is a way to tell a story,36,60,KLWri189,189,,,,,,,,,,KNO-Lit-wri-17,,,,,,,,
Core,Knowledge   ,Literacy,Sight words,NA,Identifies between 1 and 10  sight words and reads them in isolation and in context ,36,65,KLSig190,190,,,,,,,,,,KNO-Lit-sig-1,,,,,,,,
Core,Knowledge   ,Literacy,Sight words,NA,Identifies between 11 and 50 sight words and reads them in isolation and in context ,40,65,KLSig191,191,,,,,,,,,,KNO-Lit-sig-2,,,,,,,,
Core,Knowledge   ,Literacy,Sight words,NA,Identifies more than 50 sight words and reads them in isolation and in context ,50,70,KLSig192,192,,,,,,,,,,KNO-Lit-sig-3,,,,,,,,
Core,Knowledge   ,Literacy,Word structure ,NA,"Makes use of ""s"" to form plural words  in speech, reading and writing ",36,72,KLWor193,193,,,,,,,,,,KNO-Lit-wrd-1,,,,,,,,
Core,Knowledge   ,Literacy,Word structure ,NA,"Makes use of ""es"" to form plural words in speech, reading and writing ",,,KLWor194,194,,,,,,,,,,KNO-Lit-wrd-2,,,,,,,,
Core,Knowledge   ,Literacy,Word structure ,NA,"Makes use of  ""s"" as a verb suffix in speech, reading and writing ",36,72,KLWor195,195,,,,,,,,,,KNO-Lit-wrd-3,,,,,,,,
Core,Knowledge   ,Literacy,Word structure ,NA,"Makes use of ""ed"" with its alternative sounds as a verb suffix in speech, reading and writing ",40,72,KLWor196,196,,,,,,,,,,KNO-Lit-wrd-4,,,,,,,,
Core,Knowledge   ,Literacy,Word structure ,NA,"Makes use of common prefixes and suffixes such as ""un"" ""less""  ""ly"" in speech, reading and writing ",60,72,KLWor197,197,,,,,,,,,,KNO-Lit-wrd-5,,,,,,,,
Core,Knowledge   ,Literacy,Grammar ,Punctuation ,"Makes use of pucntuation marks: period, question mark, exclamation point and understands how they impact meaning",40,72,KLGra198,198,,,,,,,,,,KNO-Lit-gra-1,,,,,,,,
Core,Knowledge           Literacy,Literacy,Literacy confidence ,NA,"Expresses pleasure  and confidence about learning new language and literacy by actively trying out new ideas, asking questions, or showing interest in the skills as they are shared and afterwards . ",36,72,KLLit199,199,,,,,,,,,,KNO-Lit-lit-8,,,,,,,,
Core,Knowledge           Literacy,Literacy,Literacy confidence ,NA,"Assumes that certain language and literacy skills and tasks are hard to master but is willing to keep trying in the belief that they can succeed. Will, for instance, attempt to decode an unknown word rather than skipping that word or saying any word that comes to mind. ",48,72,KLLit200,200,,,,,,,,,,KNO-Lit-lit-9,,,,,,,,
Core,Knowledge           Literacy,Literacy,Literacy confidence ,NA,Feels confident that they can express their ideas in spoken communication,48,72,KLLit201,201,,,,,,,,,,KNO-Lit-lit-10,,,,,,,,
Core,Knowledge           Literacy,Literacy,Literacy confidence ,NA,Feels confident that they can express their ideas in written communication,60,72,KLLit202,202,,,,,,,,,,KNO-Lit-lit-11,,,,,,,,
Core,Knowledge           Literacy,Literacy,Literacy confidence ,NA,Expresses the value of listening to books read aloud ,18,48,KLLit203,203,,,,,,,,,,KNO-Lit-lit-12,,,,,,,,
Core,Knowledge           Literacy,Literacy,Literacy confidence ,NA,Expresses the value of attentig to books independentlay by looking at pictures or  reading books themselves ,36,78,KLLit204,204,,,,,,,,,,KNO-Lit-lit-13,,,,,,,,
Core,Knowledge           Literacy,Literacy,Literacy confidence ,NA,Enjoys sharing what they have learned with others,40,60,KLLit205,205,,,,,,,,,,KNO-Lit-lit-14,,,,,,,,
Core,Knowledge           Literacy,Literacy,Literacy confidence ,NA,Can identify what they have learned ,48,60,KLLit206,206,,,,,,,,,,KNO-Lit-lit-15,,,,,,,,
Core,Knowledge           Literacy,Literacy,Literacy confidence ,NA,Enjoys helping others with literacy tasks either by offering or responding to a request,48,60,KLLit207,207,,,,,,,,,,KNO-Lit-lit-16,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Identifying feelings in self,NA,"Can express a range of emotions (happiness, sadness, fear and anger) with their face, body, and voice. (clap when happy, pout and hunch shoulders when sad, shout “Whee!” when excited).",8,18,SAIde1,1,,,,,,,,,,SEL-Awa-ifs-1,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Identifying feelings in self,NA,"Shows awareness of own emotion, and can express a broader range of emotions across contexts, such as during play and in interactions with adults. ",18,36,SAIde2,2,,,,,,,,,,SEL-Awa-ifs-2,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Identifying feelings in self,NA,"Begins to use words to describe some of the emotions, such as happy, sad, or mad.",36,48,SAIde3,3,,,,,,,,,,SEL-Awa-ifs-3,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Identifying feelings in self,NA,"Expresses a broad range of emotions and begins to notice more subtle or complex emotions in self and others, such as embarrassed or worried. ",48,60,SAIde4,4,,,,,,,,,,SEL-Awa-ifs-4,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Identifying feelings in self,NA,"Understands that his/her feelings can change over time, or as a response to the environment and/or others' behavior. ",48,60,SAIde5,5,,,,,,,,,,SEL-Awa-ifs-5,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Identifying feelings in self,NA,"Can notice and describe situations or reasons that cause particular feelings. (like telling teacher “I don’t like it when
Angelica hits me.”",48,60,SAIde6,6,,,,,,,,,,SEL-Awa-ifs-6,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Be yourself (identity),NA,"Recognize self as a unique person with thoughts, feelings and distinct characteristics.",12,18,SABe 7,7,,,,,,,,,,SEL-Awa-bey-1,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Be yourself (identity),NA,"Show awareness of themselves as belonging to one or more groups (like points to and names self and
members of family in a photograph).",16,36,SABe 8,8,,,,,,,,,,SEL-Awa-bey-2,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Be yourself (identity),what makes you special ?,"Shows awareness of, and can express thoughts about his/her ideas, feelings, and preferences.",16,30,SABe 9,9,,,,,,,,,,SEL-Awa-bey-3,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Be yourself (identity),what makes you special ?,"Identifies obvious physical similarities and differences between self and others, such as hair color or size. ",16,36,SABe 10,10,,,,,,,,,,SEL-Awa-bey-4,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Be yourself (identity),what makes you special ?,Can describe his/her own physical characteristics and behaviors.,36,48,SABe 11,11,,,,,,,,,,SEL-Awa-bey-5,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Be yourself (identity),what makes you special ?,Can indicate likes and dislikes when asked. ,36,48,SABe 12,12,,,,,,,,,,SEL-Awa-bey-6,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Be yourself (identity),what makes you special ?,Can describe a larger range of individual characteristics and interests and communicates how these are similar or different from those of other people.,48,60,SABe 13,13,,,,,,,,,,SEL-Awa-bey-7,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Believe in yourself (identity),thinking positively,"Can describe their physical characteristics, behavior, and abilities positively. ",36,48,SABel14,14,,,,,,,,,,SEL-Awa-bel-1,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Believe in yourself (identity),thinking positively,"Can, with adult guidance, think of people, objects or things to do that make him/her feel happy.",36,48,SABel15,15,,,,,,,,,,SEL-Awa-bel-2,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Believe in yourself (identity),thinking positively,"Can independently think of people, objects or things to do that make him/her feel happy.",48,60,SABel16,16,,,,,,,,,,SEL-Awa-bel-3,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Believe in yourself (identity),thinking positively,Can recognize and appreciate good things in his/her life.,36,72,SABel17,17,,,,,,,,,,SEL-Awa-bel-4,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Believe in yourself (identity),thinking positively,Can seek out and identify the bright side of a situation.,48,72,SABel18,18,,,,,,,,,,SEL-Awa-bel-5,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Believe in yourself (identity),building self confidence,"Contributes own ideas, skills, and abilities to activities
and experiences with adults and other children.",16,36,SABel19,19,,,,,,,,,,SEL-Awa-bel-6,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Believe in yourself (identity),building self confidence,"Seeks to do things on their own, such as putting on a jacket or pouring juice out of a small pitcher.",16,36,SABel20,20,,,,,,,,,,SEL-Awa-bel-7,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Believe in yourself (identity),building self confidence,"Independently takes responsibility for tasks such as getting dressed, grooming. Increasingly says, I want to do it myself.",36,48,SABel21,21,,,,,,,,,,SEL-Awa-bel-8,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Believe in yourself (identity),building self confidence,Recognize own abilities and express satisfaction when demonstrating them to others.,18,36,SABel22,22,,,,,,,,,,SEL-Awa-bel-9,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Believe in yourself (identity),building self confidence,"Take pride in his/her own accomplishments, such as being able to do things independently or win games at school. ",36,48,SABel23,23,,,,,,,,,,SEL-Awa-bel-10,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Believe in yourself (identity),building self confidence,Enjoys accomplishing a greater number of tasks and sharing these accomplishments with other children and adults.,48,60,SABel24,24,,,,,,,,,,SEL-Awa-bel-11,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Believe in yourself (identity),building self confidence,"Can describe his/her physical characteristics, behavior, and abilities positively, such as ""I am patient."" or ""I can draw pictures well.""",48,72,SABel25,25,,,,,,,,,,SEL-Awa-bel-12,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Respecting your own rights,speaking up for yourself,Understands that he/she can say no in certain situations.,24,36,SARes26,26,,,,,,,,,,SEL-Awa-rer-1,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Respecting your own rights,speaking up for yourself,Recognizes an unfair situation and can defend him/herself in an appropriate manner in such  situations (when he/she is not treated equally as other peers),36,60,SARes27,27,,,,,,,,,,SEL-Awa-rer-2,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Respecting your own rights,speaking up for yourself,Knows and can establish boundaries appropriately to protect their emotional health.,48,72,SARes28,28,,,,,,,,,,SEL-Awa-rer-3,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Trying new things,curiosity,"Demonstrates curiosity about new things around self, such as new food, new games etc. ",8,18,SATry29,29,,,,,,,,,,SEL-Awa-try-1,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Trying new things,curiosity,Responds with curiosity and questions when exposed to new ides and situations,20,48,SATry30,30,,,,,,,,,,SEL-Awa-try-2,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Trying new things,curiosity,Responds to sensory experiences with increasing curiosity and demonstrate desire to find out more.,12,24,SATry31,31,,,,,,,,,,SEL-Awa-try-3,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Trying new things,curiosity,"Participates in new experiences, asks questions, and experiments with new things or materials, such as collecting leaves and pinecones in the fall.",24,48,SATry32,32,,,,,,,,,,SEL-Awa-try-4,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Trying new things,curiosity,Seeks out new information and explores new play and tasks both independently and with adult support.,48,60,SATry33,33,,,,,,,,,,SEL-Awa-try-5,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Trying new things,accepting undesirable outcomes,"Can accept undesirable outcomes of trying new things, and still be willing to try next time with the encouragement and guidancefrom adults.",36,48,SATry34,34,,,,,,,,,,SEL-Awa-try-6,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Trying new things,accepting undesirable outcomes,Can handle undesirable outcomes of trying new things with growing independence.,48,72,SATry35,35,,,,,,,,,,SEL-Awa-try-7,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Trying new things,making connections,Makes connections between past and current experiences in interpersonal relations to help improve current outcomes with prompts.,36,48,SATry36,36,,,,,,,,,,SEL-Awa-try-8,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Trying new things,making connections,Makes connections between past and current experiences in interpersonal relations to help improve current outcomes with increasing independence.,48,72,SATry37,37,,,,,,,,,,SEL-Awa-try-9,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Accepting challenges,confidence,"Can recall successful experiences of taking challenges, including learning a new skill, accomplishing a task etc. with prompts, to boost confidence to take challenges. ",36,48,SAAcc38,38,,,,,,,,,,SEL-Awa-acc-1,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Accepting challenges,confidence,"Has some understanding of self's competence, and believes in self's competence to meet the challenges and succeed, with adults' guidance and encouragement. ",36,54,SAAcc39,39,,,,,,,,,,SEL-Awa-acc-2,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Accepting challenges,confidence,Increasingly takes on challenges without adult prompting ,48,72,SAAcc40,40,,,,,,,,,,SEL-Awa-acc-3,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Accepting challenges,confidence,"Can recall successful experiences of taking challenges, including learning a new skill, accomplishing a task etc. independently.",48,72,SAAcc41,41,,,,,,,,,,SEL-Awa-acc-4,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Accepting challenges,confidence,"Has growing understanding of self's competence, and believes in self's competence to meet the challenges and suceed. ",54,72,SAAcc42,42,,,,,,,,,,SEL-Awa-acc-5,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Accepting challenges,making connections,Can make connections to his/her prior knowledge  with the new problems with prompts.,36,48,SAAcc43,43,,,,,,,,,,SEL-Awa-acc-6,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Accepting challenges,making connections,Can make connections to his/her prior knowledge to solve new problems. ,48,84+,SAAcc44,44,,,,,,,,,,SEL-Awa-acc-7,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Self Expression,verbal expression ,"Can answer simple questions about him/herself, such as name and age. ",18,30,SASel45,45,,,,,,,,,,SEL-Awa-sel-1,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Self Expression,verbal expression ,Can answer a wider range of questions about self. ,24,36,SASel46,46,,,,,,,,,,SEL-Awa-sel-2,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Self Expression,verbal expression ,"Can repeat, rephrase, or adjust volume/speed when his/her spoken message is not perceived or understood.",36,60,SASel47,47,,,,,,,,,,SEL-Awa-sel-3,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Self Expression,verbal expression ,Can use some vocabulary to express his/her opinions and feelings in a conversation.,36,48,SASel48,48,,,,,,,,,,SEL-Awa-sel-4,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Self Expression,verbal expression ,Can use a wider range of vocabulary to express his/her opinions and feelings in a conversation.,36,60,SASel49,49,,,,,,,,,,SEL-Awa-sel-5,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Self Expression,verbal expression ,"Start to use words rather than physically lashing out when upset, with adult's guidance. ",36,48,SASel50,50,,,,,,,,,,SEL-Awa-sel-6,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Self Expression,verbal expression ,"Show increasing tendency to use words rather than phsically lashing out when upset, with growing independence. ",48,72,SASel51,51,,,,,,,,,,SEL-Awa-sel-7,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Self Expression,"
development of vocabulary and articulation that allows for and promotes self-expression
 ","Can make use of new words introduced by adults, peers or digital tools to express themselves.",18,36,SASel52,52,,,,,,,,,,SEL-Awa-sel-8,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Self Expression,"
development of vocabulary and articulation that allows for and promotes self-expression
 ",Uses an increasing number of words in communication and conversation with others and adds new vocabulary words regularly to express themselves more accurately. ,36,60,SASel53,53,,,,,,,,,,SEL-Awa-sel-9,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Self Expression,Visual expression ,"Can use facial expressions, body language and gestures to show his/her ideas.  ",18,36,SASel54,54,,,,,,,,,,SEL-Awa-sel-10,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Self Expression,Visual expression ,"Can participate in art activities such as coloring, painting and drawing. ",36,48,SASel55,55,,,,,,,,,,SEL-Awa-sel-11,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Self Expression,Visual expression ,Can make their own decisions when creating work of visual art. ,36,60,SASel56,56,,,,,,,,,,SEL-Awa-sel-12,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Self Expression,Visual expression ,Can verbally describe/explain his/her artwork to others. ,36,60,SASel57,57,,,,,,,,,,SEL-Awa-sel-13,,,,,,,,
Creativity,Social Emotional Learning ,Awareness of Self,Self Expression,other artistic expression,"Can creatively use various art forms (clay, playdough, collages, simple print makings...) to express themselves.",36,60,SASel58,58,,,,,,,,,,SEL-Awa-sel-14,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Imagination,NA,Can participate in pretend(dramatic) play. ,18,36,SAIma59,59,,,,,,,,,,SEL-Awa-ima-1,,,,,,,,
Critical Thinking,Social Emotional Learning ,Awareness of Self,Imagination,NA,Can participate in different play activities using the same materials for multiple functions. ,18,36,SAIma60,60,,,,,,,,,,SEL-Awa-ima-2,,,,,,,,
Creativity,Social Emotional Learning ,Awareness of Self,Imagination,NA,Can communicate creative ideas to other children and adults; can initiate their own imaginative play.,36,48,SAIma61,61,,,,,,,,,,SEL-Awa-ima-3,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Imagination,NA,Can appreciate the imaginative worlds of others.,36,48,SAIma62,62,,,,,,,,,,SEL-Awa-ima-4,,,,,,,,
Character,Social Emotional Learning ,Awareness of Self,Imagination,NA,Can use language and drawing to express imaginative ideas.,36,48,SAIma63,63,,,,,,,,,,SEL-Awa-ima-5,,,,,,,,
Creativity,Social Emotional Learning ,Awareness of Self,Imagination,NA,"Develops more elaborate imaginary play, stories, and other creative works with children and adults.",48,60,SAIma64,64,,,,,,,,,,SEL-Awa-ima-6,,,,,,,,
Creativity,Social Emotional Learning ,Awareness of Self,Imagination,NA,"Can record, using increasingly accurate writing, stories that spring from the imagination.",54,80,SAIma65,65,,,,,,,,,,SEL-Awa-ima-7,,,,,,,,
Creativity,Social Emotional Learning ,Awareness of Self,Imagination,NA,Can view the world in unique ways.,48,60,SAIma66,66,,,,,,,,,,SEL-Awa-ima-8,,,,,,,,
Creativity,Social Emotional Learning ,Awareness of Self,Imagination,NA,"Can choose unique materials to represent ideas, characters or objects. ",48,60,SAIma67,67,,,,,,,,,,SEL-Awa-ima-9,,,,,,,,
Creativity,Social Emotional Learning ,Awareness of Self,Imagination,NA,Can tell the line between reality and imagination.,60,72,SAIma68,68,,,,,,,,,,SEL-Awa-ima-10,,,,,,,,
Character,Social Emotional Learning ,Self-management,Managing anger,NA,Begins to manage and adjust actions and behavior with the guidance of familiar adults when feeling angry.,18,36,SSMan69,69,,,,,,,,,,SEL-Sel-maa-1,,,,,,,,
Character,Social Emotional Learning ,Self-management,Managing anger,NA,Begins to use words or signs such as “Stop” or “No” during conflict with a peer instead of hitting.,18,36,SSMan70,70,,,,,,,,,,SEL-Sel-maa-2,,,,,,,,
Character,Social Emotional Learning ,Self-management,Managing anger,NA,"Understands that it's normal to feel angry, but certain behavior is not acceptable just because he/she feels angry (such as yelling or hitting other people).",36,60,SSMan71,71,,,,,,,,,,SEL-Sel-maa-3,,,,,,,,
Character,Social Emotional Learning ,Self-management,Managing anger,NA,"Knows several ways to manage their anger, such as counting from 1 to 10, listening to music or talk to someone they trust etc., but still needs to seek for adults' help when the emotion is intense.",36,48,SSMan72,72,,,,,,,,,,SEL-Sel-maa-4,,,,,,,,
Character,Social Emotional Learning ,Self-management,Managing anger,,"Begins to apply strategies to manage their anger, and gradually realize what works for him/herself the most.",48,60,SSMan73,73,,,,,,,,,,SEL-Sel-maa-5,,,,,,,,
Character,Social Emotional Learning ,Self-management,Managing anger,NA,Show increasing capability in using skills to cope with anger independently.,60,72,SSMan74,74,,,,,,,,,,SEL-Sel-maa-6,,,,,,,,
Character,Social Emotional Learning ,Self-management,Managing frustration,NA,Begins to manage and adjust actions and behavior with the guidance of familiar adults when feeling frustrated. ,18,36,SSMan75,75,,,,,,,,,,SEL-Sel-maf-1,,,,,,,,
Character,Social Emotional Learning ,Self-management,Managing frustration,NA,"Understands that it's normal to feel frustrated, but certain behavior is not acceptable just because he/she feels frustrated. ",24,36,SSMan76,76,,,,,,,,,,SEL-Sel-maf-2,,,,,,,,
Character,Social Emotional Learning ,Self-management,Managing frustration,NA,"Knows several strategies to deal with frustration including deep breathing, taking smaller steps etc., but still needs adults' help when the emotion is intense. ",36,48,SSMan77,77,,,,,,,,,,SEL-Sel-maf-3,,,,,,,,
Character,Social Emotional Learning ,Self-management,Managing frustration,NA,"Begins to apply strategies to manage their frustration, and gradually realize what works for him/herself the most.",48,60,SSMan78,78,,,,,,,,,,SEL-Sel-maf-4,,,,,,,,
Character,Social Emotional Learning ,Self-management,Managing frustration,NA,Show increasing capability in using skills to cope with frustration independently. ,60,72,SSMan79,79,,,,,,,,,,SEL-Sel-maf-5,,,,,,,,
Character,Social Emotional Learning ,Self-management,Coping with fear,NA,Can seek for adults' help when something scares or frightens him/her. ,12,24,SSCop80,80,,,,,,,,,,SEL-Sel-cop-1,,,,,,,,
Character,Social Emotional Learning ,Self-management,Coping with fear,NA,"Can recognize a list of things that he/her fears, and use verbal or nonverbal language to communicate to adults. ",18,36,SSCop81,81,,,,,,,,,,SEL-Sel-cop-2,,,,,,,,
Character,Social Emotional Learning ,Self-management,Coping with fear,NA,"Can identify and name people who can give help, or seek for comforting objects when he/she feels afraid.",18,36,SSCop82,82,,,,,,,,,,SEL-Sel-cop-3,,,,,,,,
Character,Social Emotional Learning ,Self-management,Coping with fear,NA,"Knows several strategies to cope with fear, but still needs adults' help when the emotion is intense. ",36,48,SSCop83,83,,,,,,,,,,SEL-Sel-cop-4,,,,,,,,
